,datetime,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
36000,2020-08-25 10:00:00+00:00,0.90205,0.90205,0.90203,0.90205,-1,-1.0,-1,0.90209,0.90209,0.90206,0.90206,-1,-1.0,-1
39600,2020-08-25 11:00:00+00:00,0.90101,0.90101,0.9009,0.90092,-1,-1.0,-1,0.90102,0.90102,0.90091,0.90093,-1,-1.0,-1
43200,2020-08-25 12:00:00+00:00,0.89945,0.8995,0.89941,0.89947,-1,-1.0,-1,0.89946,0.89953,0.89943,0.89949,-1,-1.0,-1
46800,2020-08-25 13:00:00+00:00,0.89964,0.89964,0.8996,0.89961,-1,-1.0,-1,0.89967,0.89968,0.89965,0.89967,-1,-1.0,-1
50400,2020-08-25 14:00:00+00:00,0.9006,0.9006,0.90055,0.9006,-1,-1.0,-1,0.90062,0.90063,0.90059,0.90061,-1,-1.0,-1
54000,2020-08-25 15:00:00+00:00,0.90127,0.90129,0.90127,0.90128,-1,-1.0,-1,0.90129,0.90131,0.90129,0.90129,-1,-1.0,-1
57600,2020-08-25 16:00:00+00:00,0.89962,0.89968,0.89962,0.89968,-1,-1.0,-1,0.89965,0.89969,0.89964,0.89969,-1,-1.0,-1
61200,2020-08-25 17:00:00+00:00,0.90011,0.90013,0.9001,0.9001,-1,-1.0,-1,0.90015,0.90018,0.90015,0.90016,-1,-1.0,-1
64800,2020-08-25 18:00:00+00:00,0.90013,0.90013,0.90013,0.90013,-1,-1.0,-1,0.90016,0.90016,0.90016,0.90016,-1,-1.0,-1
68400,2020-08-25 19:00:00+00:00,0.9001,0.9001,0.90009,0.90009,-1,-1.0,-1,0.90012,0.90015,0.90011,0.90012,-1,-1.0,-1
72000,2020-08-25 20:00:00+00:00,0.90011,0.90011,0.9001,0.9001,-1,-1.0,-1,0.90013,0.90014,0.90013,0.90013,-1,-1.0,-1
78300,2020-08-25 22:00:00+00:00,0.90009,0.90009,0.89999,0.89999,-1,-1.0,-1,0.9002,0.9002,0.9002,0.9002,-1,-1.0,-1
81900,2020-08-25 23:00:00+00:00,0.90004,0.90004,0.90003,0.90004,-1,-1.0,-1,0.90012,0.90012,0.90012,0.90012,-1,-1.0,-1
0,2020-08-26 00:00:00+00:00,0.89991,0.89993,0.89991,0.89993,-1,-1.0,-1,0.89998,0.89998,0.89996,0.89997,-1,-1.0,-1
3600,2020-08-26 01:00:00+00:00,0.89993,0.89993,0.89991,0.89991,-1,-1.0,-1,0.89998,0.89998,0.89997,0.89997,-1,-1.0,-1
7200,2020-08-26 02:00:00+00:00,0.9001,0.9001,0.9001,0.9001,-1,-1.0,-1,0.90015,0.90015,0.90015,0.90015,-1,-1.0,-1
10800,2020-08-26 03:00:00+00:00,0.89975,0.89975,0.89975,0.89975,-1,-1.0,-1,0.89981,0.89981,0.89981,0.89981,-1,-1.0,-1
14400,2020-08-26 04:00:00+00:00,0.89984,0.89984,0.89984,0.89984,-1,-1.0,-1,0.89988,0.89988,0.89988,0.89988,-1,-1.0,-1
18000,2020-08-26 05:00:00+00:00,0.89912,0.89913,0.89911,0.89911,-1,-1.0,-1,0.89917,0.89917,0.89915,0.89915,-1,-1.0,-1
21600,2020-08-26 06:00:00+00:00,0.89959,0.89963,0.89959,0.89962,-1,-1.0,-1,0.89961,0.89965,0.89961,0.89964,-1,-1.0,-1
25200,2020-08-26 07:00:00+00:00,0.89868,0.89875,0.89867,0.8987,-1,-1.0,-1,0.89871,0.89877,0.89869,0.89873,-1,-1.0,-1
