,datetime,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
81900,2020-06-03 23:00:00+00:00,1.62203,1.62208,1.62199,1.62202,-1,-1.0,-1,1.62215,1.62215,1.6221,1.62211,-1,-1.0,-1
0,2020-06-04 00:00:00+00:00,1.62188,1.62194,1.6217,1.6217,-1,-1.0,-1,1.62199,1.62202,1.62178,1.62178,-1,-1.0,-1
3600,2020-06-04 01:00:00+00:00,1.62519,1.62549,1.62519,1.62548,-1,-1.0,-1,1.62531,1.62559,1.62527,1.62555,-1,-1.0,-1
7200,2020-06-04 02:00:00+00:00,1.62657,1.62657,1.62656,1.62656,-1,-1.0,-1,1.62664,1.62664,1.62664,1.62664,-1,-1.0,-1
10800,2020-06-04 03:00:00+00:00,1.62596,1.62597,1.62585,1.62585,-1,-1.0,-1,1.62601,1.62601,1.62593,1.62593,-1,-1.0,-1
14400,2020-06-04 04:00:00+00:00,1.62602,1.62602,1.62595,1.62599,-1,-1.0,-1,1.62607,1.62607,1.62601,1.62606,-1,-1.0,-1
18000,2020-06-04 05:00:00+00:00,1.62467,1.62467,1.6246,1.62462,-1,-1.0,-1,1.62476,1.62476,1.62467,1.6247,-1,-1.0,-1
21600,2020-06-04 06:00:00+00:00,1.62387,1.62394,1.62369,1.62369,-1,-1.0,-1,1.62395,1.62401,1.6237,1.6237,-1,-1.0,-1
25200,2020-06-04 07:00:00+00:00,1.62705,1.62705,1.62686,1.62686,-1,-1.0,-1,1.6271,1.6271,1.62687,1.62687,-1,-1.0,-1
28800,2020-06-04 08:00:00+00:00,1.62518,1.62518,1.62504,1.62504,-1,-1.0,-1,1.62524,1.62524,1.62515,1.62515,-1,-1.0,-1
32400,2020-06-04 09:00:00+00:00,1.62447,1.62447,1.62432,1.62432,-1,-1.0,-1,1.6245,1.6245,1.62435,1.62435,-1,-1.0,-1
36000,2020-06-04 10:00:00+00:00,1.62569,1.62572,1.62569,1.62572,-1,-1.0,-1,1.62573,1.62579,1.62571,1.62573,-1,-1.0,-1
39600,2020-06-04 11:00:00+00:00,1.62504,1.62534,1.62504,1.62534,-1,-1.0,-1,1.62509,1.6254,1.62509,1.62537,-1,-1.0,-1
43200,2020-06-04 12:00:00+00:00,1.62739,1.62757,1.62738,1.6274,-1,-1.0,-1,1.62749,1.62764,1.62746,1.62754,-1,-1.0,-1
46800,2020-06-04 13:00:00+00:00,1.62513,1.62517,1.6251,1.6251,-1,-1.0,-1,1.62524,1.62524,1.6252,1.6252,-1,-1.0,-1
50400,2020-06-04 14:00:00+00:00,1.62888,1.62888,1.62876,1.62881,-1,-1.0,-1,1.62895,1.62895,1.62883,1.62888,-1,-1.0,-1
54000,2020-06-04 15:00:00+00:00,1.62569,1.62582,1.62569,1.62582,-1,-1.0,-1,1.62575,1.62588,1.62575,1.62584,-1,-1.0,-1
57600,2020-06-04 16:00:00+00:00,1.63048,1.63064,1.63048,1.63057,-1,-1.0,-1,1.63053,1.63068,1.63051,1.63064,-1,-1.0,-1
61200,2020-06-04 17:00:00+00:00,1.63482,1.63482,1.63478,1.63478,-1,-1.0,-1,1.63492,1.63492,1.63488,1.63488,-1,-1.0,-1
64800,2020-06-04 18:00:00+00:00,1.63363,1.63366,1.63361,1.63361,-1,-1.0,-1,1.63367,1.63372,1.63365,1.63365,-1,-1.0,-1
68400,2020-06-04 19:00:00+00:00,1.63546,1.63547,1.6354,1.63546,-1,-1.0,-1,1.63554,1.63556,1.63547,1.63554,-1,-1.0,-1
72000,2020-06-04 20:00:00+00:00,1.633,1.63307,1.633,1.63307,-1,-1.0,-1,1.63306,1.63313,1.63306,1.63311,-1,-1.0,-1
78300,2020-06-04 22:00:00+00:00,1.63315,1.63334,1.63315,1.63333,-1,-1.0,-1,1.63369,1.63375,1.63361,1.63375,-1,-1.0,-1
81900,2020-06-04 23:00:00+00:00,1.63192,1.63193,1.63191,1.63192,-1,-1.0,-1,1.63207,1.63207,1.63207,1.63207,-1,-1.0,-1
0,2020-06-05 00:00:00+00:00,1.63364,1.63364,1.63358,1.63358,-1,-1.0,-1,1.63372,1.63372,1.63365,1.6337,-1,-1.0,-1
3600,2020-06-05 01:00:00+00:00,1.63427,1.63432,1.63414,1.63416,-1,-1.0,-1,1.63436,1.63436,1.6342,1.6342,-1,-1.0,-1
7200,2020-06-05 02:00:00+00:00,1.63196,1.63197,1.63196,1.63196,-1,-1.0,-1,1.63201,1.63205,1.63198,1.63201,-1,-1.0,-1
